"**PROJ"
"*PROJ_ID","*PROJ_NAME","*PROJ_LOC","*PROJ_CLNT","*PROJ_CONT","*PROJ_ENG","*PROJ_MEMO","*PROJ_DATE","*PROJ_AGS","*FILE_FSET"
"<UNITS>","","","","","","","","",""
"k4976","SI Works for Slope Strengthening Works at Registry of Marriage (ROM)","Fort Canning Park (ROM)","Ministry of Social and Family Development","Ryobi Geotechnique Pte Ltd","Chen Jiun Fook","1 Borehole, Field, Laboratory data","","",""
"<CONT>","","","","",""," and Tests","26/01/2016","3.1","RG/2016/k4976/260115/mmh"

"**ABBR"
"*ABBR_HDNG","*ABBR_CODE","*ABBR_DESC"
"CNMT_TTYP","LEACHATE_FREE","Leachate (Free)"
"CNMT_TTYP","LEACHATE_DISS","Leachate (Dissolved)"
"DISC_TERM","D","Terminates against another discontinuity"
"DISC_TERM","R","Terminates within rock"
"DISC_TERM","X","Extends beyond exposure"
"FILE_DOCT","CR","Construction record"
"FILE_DOCT","CAL","Calibration data"
"FILE_DOCT","DRAW","Drawing"
"FILE_DOCT","GEN","General"
"FILE_DOCT","MS","Method statement"
"FILE_DOCT","PH","Photograph"
"FILE_DOCT","RAW","Raw data"
"FILE_DOCT","REP","Report"
"FILE_DOCT","TECH","Technical paper"
"FILE_DOCT","VI","Video clip"
"GEOL_GEOL","FILL","BACKFILL"
"GEOL_GEOL","BF","BACKFILL"
"GEOL_GEOL","Kr","Reef member (KALLANG FORMATION)"
"GEOL_GEOL","B","Beach (Littoral)"
"GEOL_GEOL","E","Estuarine(Transitional)"
"GEOL_GEOL","F","Fluvial or Alluvial soil part of Kallang or Tekong"
"GEOL_GEOL","F1","Alluvial soil (Granular)"
"GEOL_GEOL","F2","Alluvial soil (Non-granular)"
"GEOL_GEOL","M","Marine Clay"
"GEOL_GEOL","O(A)","Old Alluvium (Unweathered)"
"GEOL_GEOL","O(B)","Old Alluvium (Partially weathered)"
"GEOL_GEOL","O(C)","Old Alluvium (Distinctly weathered)"
"GEOL_GEOL","O(D)","Old Alluvium (Destructured)"
"GEOL_GEOL","O(E)","Old Alluvium (Residual soil)"
"GEOL_GEOL","OA(A)","Old Alluvium (Unweathered)"
"GEOL_GEOL","OA(B)","Old Alluvium (Partially weathered)"
"GEOL_GEOL","OA(C)","Old Alluvium (Distinctly weathered)"
"GEOL_GEOL","OA(D)","Old Alluvium (Destructured)"
"GEOL_GEOL","OA(E)","Old Alluvium (Residual soil)"
"GEOL_GEOL","FC","Fort Canning Boulder Bed"
"GEOL_GEOL","S(VI)","Sedimentaries (rocks & associated soils) Residual soil"
"GEOL_GEOL","S(V)","Sedimentaries (rocks & associated soils) Completely weathered"
"GEOL_GEOL","S(IV)","Sedimentaries (rocks & associated soils) Highly weathered"
"GEOL_GEOL","S(III)","Sedimentaries (rocks & associated soils) Moderately weathered"
"GEOL_GEOL","S(II)","Sedimentaries (rocks & associated soils) Slightly weathered"
"GEOL_GEOL","S(I)","Sedimentaries (rocks & associated soils) Fresh"
"GEOL_GEOL","G(VI)","Granite (rocks & associated soils) Residual soil"
"GEOL_GEOL","G(V)","Granite (rocks & associated soils) Completely weathered"
"GEOL_GEOL","G(IV)","Granite (rocks & associated soils) Highly weathered"
"GEOL_GEOL","G(III)","Granite (rocks & associated soils) Moderately weathered"
"GEOL_GEOL","G(II)","Granite (rocks & associated soils) Slightly weathered"
"GEOL_GEOL","G(I)","Granite (rocks & associated soils) Fresh"
"GEOL_GEOL","G(V-IV)","Granite (rocks & associated soils) Completely weathered to Highly weathered"
"GEOL_GEOL","G(IV-III)","Granite (rocks & associated soils) Highly weathered to Moderately weathered"
"GEOL_GEOL","G(IV-II)","Granite (rocks & associated soils) Highly weathered to Slightly weathered"
"GEOL_GEOL","G(III-II)","Granite (rocks & associated soils) Moderately weathered toSlightly weathered"
"GEOL_GEOL","G(II-I)","Granite (rocks & associated soils) Slightly weathered to Fresh"
"GEOL_GEOL","S(V-IV)","Sedimentaries (rocks & associated soils) Completely to Higly weathered"
"GEOL_GEOL","S(IV-III)","Sedimentaries (rocks & associated soils) Highly to Moderately weathered"
"GEOL_GEOL","S(IV-II)","Sedimentaries (rocks & associated soils) Highly to Slightly weathered"
"GEOL_GEOL","S(II-I)","Sedimentaries (rocks & associated soils) Slightly weathered to Fresh"
"GEOL_GEOL","S(I-II)","Sedimentaries (rocks & associated soils) Fresh to Slightly weathered"
"GEOL_GEO2","AS","Asphalt"
"GEOL_GEO2","BF","BACKFILL"
"GEOL_GEO2","BE","Bedrock"
"GEOL_GEO2","BO","BOULDER"
"GEOL_GEO2","BR","Brick"
"GEOL_GEO2","C","CLAY"
"GEOL_GEO2","GC","CLAYEY GRAVEL"
"GEOL_GEO2","PtC","CLAYEY PEAT"
"GEOL_GEO2","SC","CLAYEY SAND"
"GEOL_GEO2","CON","CONCRETE"
"GEOL_GEO2","G","GRAVEL"
"GEOL_GEO2","CG","GRAVELLY CLAY"
"GEOL_GEO2","PtG","GRAVELLY PEAT"
"GEOL_GEO2","SG","GRAVELLY SAND"
"GEOL_GEO2","MG","GRAVELLY SILT"
"GEOL_GEO2","CO","ORGANIC CLAY"
"GEOL_GEO2","GO","ORGANIC GRAVEL"
"GEOL_GEO2","SO","ORGANIC SAND"
"GEOL_GEO2","MO","ORGANIC SILT"
"GEOL_GEO2","MC","Clayey SILT"
"GEOL_GEO2","CM","Silty CLAY"
"GEOL_GEO2","Pt","PEAT"
"GEOL_GEO2","CPt","PEATY CLAY"
"GEOL_GEO2","GPt","PEATY GRAVEL"
"GEOL_GEO2","SPt","PEATY SAND"
"GEOL_GEO2","MPt","PEATY SILT"
"GEOL_GEO2","S","SAND"
"GEOL_GEO2","CS","SANDY CLAY"
"GEOL_GEO2","GS","SANDY GRAVEL"
"GEOL_GEO2","PtS","SANDY PEAT"
"GEOL_GEO2","MS","SANDY SILT"
"GEOL_GEO2","M","SILT"
"GEOL_GEO2","GM","SILTY GRAVEL"
"GEOL_GEO2","PtM","SILTY PEAT"
"GEOL_GEO2","SM","SILTY SAND"
"GEOL_GEO2","TB","TIMBER"
"GEOL_GEO2","AGGLOM","AGGLOMERATE (VOLCANIC BRECCIA)"
"GEOL_GEO2","ANDE","ANDESITE"
"GEOL_GEO2","APL","APLITE"
"GEOL_GEO2","ARG","ARGILLITE"
"GEOL_GEO2","BA","BASALT"
"GEOL_GEO2","BREC","BRECCIA"
"GEOL_GEO2","CALCONG","CALCAREOUS CONGLOMERATE"
"GEOL_GEO2","CALMU","CALCAREOUS MUDSTONE"
"GEOL_GEO2","CALSA","CALCAREOUS SANDSTONE"
"GEOL_GEO2","CALSI","CALCAREOUS SILTSTONE"
"GEOL_GEO2","CHALK","CHALK"
"GEOL_GEO2","CNG","CONGLOMERATE"
"GEOL_GEO2","CNGSA","CONGLOMERATIC SANDSTONE"
"GEOL_GEO2","CNGSH","CONGLOMERATIC SHALE"
"GEOL_GEO2","CNGSI","CONGLOMERATIC SILT"
"GEOL_GEO2","COAL","COAL"
"GEOL_GEO2","COCONG","CARBONACEOUS CONGLOMERATE"
"GEOL_GEO2","COMU","CARBONACEOUS MUDSTONE"
"GEOL_GEO2","COSA","CARBONACEOUS SANDSTONE"
"GEOL_GEO2","COSI","CARBONACEOUS SILTSTONE"
"GEOL_GEO2","CSTUFF","CRYSTAL TUFF"
"GEOL_GEO2","D","DOLOMITE"
"GEOL_GEO2","DI","DIORITE"
"GEOL_GEO2","DO","DOLERITE ( DIABASE in UK)"
"GEOL_GEO2","DOBON","DOLOMITE-BOUNDSTONE"
"GEOL_GEO2","DOFRM","DOLOMITE-FRAMESTONE"
"GEOL_GEO2","DOGA","DOLOMITE-GRAINSTONE"
"GEOL_GEO2","DOMIC","DOLOMITE-MICROSTONE"
"GEOL_GEO2","DOMICSPA","DOLOMITE-MICROSPARSTONE"
"GEOL_GEO2","DOMU","DOLOMITE-MUDSTONE"
"GEOL_GEO2","DOPA","DOLOMITE-PACKSTONE"
"GEOL_GEO2","DOPSU","DOLOMITE-PSEUDOSPARSTONE"
"GEOL_GEO2","DOSPA","DOLOMITE-SPARSTONE"
"GEOL_GEO2","DOWA","DOLOMITE-WACKESTONE"
"GEOL_GEO2","FELARE","FELDSPATHIC-ARENITE"
"GEOL_GEO2","FELWAC","FELDSPATHIC-WACKE"
"GEOL_GEO2","GAB","GABBRO"
"GEOL_GEO2","GMMU","GRAVELLY MUDDY MUDSTONE"
"GEOL_GEO2","GMU","GRAVELLY MUDSTONE"
"GEOL_GEO2","GND","GRANODIORITE"
"GEOL_GEO2","GNP","GRANOPHYRE"
"GEOL_GEO2","GR","GRANITE"
"GEOL_GEO2","GRPOR","GRANITE PORPHYRY"
"GEOL_GEO2","GSA","GRAVELLY SANDSTONE"
"GEOL_GEO2","GSAMU","GRAVELLY SANDY MUDSTONE"
"GEOL_GEO2","HNBGNP","HORNBLENDE GRANOPHYRE"
"GEOL_GEO2","HNBPOR","HORNBLENDE PORPHYRY"
"GEOL_GEO2","LAMP","LAMPROPHYRES"
"GEOL_GEO2","LAPIL","LAPILLISTONE"
"GEOL_GEO2","LI","LIMESTONE"
"GEOL_GEO2","LIARE","LITHIC-ARENITE"
"GEOL_GEO2","LIBON","LIME-BOUNDSTONE"
"GEOL_GEO2","LIFRM","LIME-FRAMESTONE"
"GEOL_GEO2","LIGA","LIME-GRAINSTONE"
"GEOL_GEO2","LIMIC","LIME-MICROSTONE"
"GEOL_GEO2","LIMICSPA","LIME-MICROSPARSTONE"
"GEOL_GEO2","LIMU","LIME-MUDSTONE"
"GEOL_GEO2","LIPA","LIME-PACKSTONE"
"GEOL_GEO2","LIPSU","LIME-PSEUDOSPARSTONE"
"GEOL_GEO2","LISPA","LIME-SPARSTONE"
"GEOL_GEO2","LITUFF","LITHIC TUFF"
"GEOL_GEO2","LIWA","LIME-WACKESTONE"
"GEOL_GEO2","LIWAC","LITHIC-WACKE"
"GEOL_GEO2","MEMU","METAMUDSTONE"
"GEOL_GEO2","MESA","METASANDSTONE"
"GEOL_GEO2","MESAMESI","INTERBEDDED METASANDSTONE AND METASILTSTONE"
"GEOL_GEO2","MESI","METASILTSTONE"
"GEOL_GEO2","MGR","MICROGRANITE"
"GEOL_GEO2","MICONDDO","MICROONCOID-DOLOSTONE"
"GEOL_GEO2","MICONDLI","MICROONCOID-LIMESTONE"
"GEOL_GEO2","MSACONG","MUDDY SANDY CONGLOMERATE"
"GEOL_GEO2","MU","MUDSTONE"
"GEOL_GEO2","MUCONG","MUDDY CONGLOMERATE"
"GEOL_GEO2","MUSA","MUDDY SANDSTONE"
"GEOL_GEO2","NR","NORITE"
"GEOL_GEO2","NRGAB","NORITIC GABBRO"
"GEOL_GEO2","ONDDO","ONCOID-DOLOSTONE"
"GEOL_GEO2","ONDLI","ONCOID-LIMESTONE"
"GEOL_GEO2","OODDO","OOID-DOLOSTONE"
"GEOL_GEO2","OODLI","OOID-LIMESTONE"
"GEOL_GEO2","PEDDO","PELOID-DOLOSTONE"
"GEOL_GEO2","PEDLI","PELOID-LIMESTONE"
"GEOL_GEO2","PIDDO","PISOID-DOLOSTONE"
"GEOL_GEO2","PIDLI","PISOID-LIMESTONE"
"GEOL_GEO2","QTARE","QUARTZ-ARENITE"
"GEOL_GEO2","QTWAC","QUARTZ-WACKE"
"GEOL_GEO2","QTZMON","QUARTZ MONZONITE (ADAMELLITE)"
"GEOL_GEO2","RH","RHYOLITE"
"GEOL_GEO2","SA","SANDSTONE"
"GEOL_GEO2","SACONG","SANDY CONGLOMERATE"
"GEOL_GEO2","SAMCONG","SANDY MUDDY CONGLOMERATE"
"GEOL_GEO2","SAMU","SANDY MUDSTONE"
"GEOL_GEO2","SASI","INTERBEDDED SANDSTONE AND SILTSTONE"
"GEOL_GEO2","SH","SHALE"
"GEOL_GEO2","SHEDO","SHELL-DOLOSTONE"
"GEOL_GEO2","SHELI","SHELL-LIMESTONE"
"GEOL_GEO2","SI","SILTSTONE"
"GEOL_GEO2","SILCLS","SILICATE-CLAYSTONE"
"GEOL_GEO2","SILCONG","SILICATE-CONGLOMERATE"
"GEOL_GEO2","SILMU","SILICATE-MUDSTONE"
"GEOL_GEO2","SILSA","SILICATE-SANDSTONE"
"GEOL_GEO2","SILSI","SILICATE-SILTSTONE"
"GEOL_GEO2","SIMU","SILTSTONE INTERBEDDED WITH MUDSTONE"
"GEOL_GEO2","SISA","SILTSTONE LAMINATED WITH SANDSTONE"
"GEOL_GEO2","SLMEMU","SLATY METAMUDSTONE"
"GEOL_GEO2","SPI","SPILITE"
"GEOL_GEO2","SUBFELSARE","SUBFELSPATHIC-ARENITE"
"GEOL_GEO2","SULIARE","SUBLITHIC-ARENITE"
"GEOL_GEO2","TRAC","TRACHTYE"
"GEOL_GEO2","TUFF","TUFF"
"GEOL_GEO2","TUFFBREC","TUFFACEOUS BRECCIA"
"GEOL_GEO2","TUFFCONG","TUFFACEOUS CONGLOMERATE"
"GEOL_GEO2","TUFFMU","TUFFACEOUS MUDSTONE"
"GEOL_GEO2","TUFFMUSA","TUFFACEOUS MUDDY SANDSTONE"
"GEOL_GEO2","TUFFSA","TUFFACEOUS SANDSTONE"
"GEOL_GEO2","VOID","Void"
"GEOL_GEO2","VOLBREC","VOLCANICLASTIC-BRECCIA"
"GEOL_GEO2","VOLCONG","VOLCANICLASTIC-CONGLOMERATE"
"GEOL_GEO2","VOLMUD","VOLCANICLASTIC-MUDSTONE"
"GEOL_GEO2","WAS","WACKESTONE"
"GEOL_GEO3","FILL","BACKFILL"
"GEOL_GEO3","Kr","Kallang Formation (Reef Member)"
"GEOL_GEO3","Kt","Kallang Formation (Transitional Member)"
"GEOL_GEO3","Kl","Kallang Formation (Littoral Member)"
"GEOL_GEO3","Ka","Kallang Formation (Alluvial Member)"
"GEOL_GEO3","Km","Kallang Formation (Marine Member) Marine Clay"
"GEOL_GEO3","T","Tekong Formation"
"GEOL_GEO3","HC","Huat Choe Formation"
"GEOL_GEO3","OA","Old Alluvium"
"GEOL_GEO3","FC","Fort Canning Boulder Bed"
"GEOL_GEO3","J","Jurong Formation"
"GEOL_GEO3","MS","Murai Schist"
"GEOL_GEO3","Jt","Tengah Facies"
"GEOL_GEO3","Jsj","St. John Facies"
"GEOL_GEO3","Jr","Rimu Facies"
"GEOL_GEO3","Jp","Pandan Facies"
"GEOL_GEO3","Jac","Ayer Chawan Facies"
"GEOL_GEO3","Jj","Jong Facies"
"GEOL_GEO3","Jq","Queenstown Facies"
"GEOL_GEO3","D","Dyke Rock"
"GEOL_GEO3","BT","Bukit Timah Granite"
"GEOL_GEO3","R","Rafted bodies"
"GEOL_GEO3","PV","Palaeozoic Volcanics"
"GEOL_GEO3","GN","Gombak Norite"
"GEOL_GEO3","S","Sajahat Formation"
"GEOL_LEG","101","TOP SOIL"
"GEOL_LEG","102","MADE GROUND"
"GEOL_LEG","103","Asphalt, Tar, Bituminous Material"
"GEOL_LEG","104","CONCRETE"
"GEOL_LEG","105","BACKFILL"
"GEOL_LEG","106","BRICK"
"GEOL_LEG","107","TIMBER"
"GEOL_LEG","201","CLAY"
"GEOL_LEG","202","Silty CLAY"
"GEOL_LEG","203","Sandy CLAY"
"GEOL_LEG","204","Gravelly CLAY"
"GEOL_LEG","205","Cobbly CLAY"
"GEOL_LEG","206","Bouldery CLAY"
"GEOL_LEG","207","Silty sandy CLAY"
"GEOL_LEG","208","Silty gravelly CLAY"
"GEOL_LEG","209","Silty cobbly CLAY"
"GEOL_LEG","210","Silty bouldery CLAY"
"GEOL_LEG","211","Silty sandy gravelly CLAY"
"GEOL_LEG","212","Silty sandy cobbly CLAY"
"GEOL_LEG","213","Silty sandy bouldery CLAY"
"GEOL_LEG","214","Silty sandy gravelly cobbly CLAY"
"GEOL_LEG","215","Silty sandy gravelly bouldery CLAY"
"GEOL_LEG","216","Silty sandy gravelly cobbly bouldery CLAY"
"GEOL_LEG","217","Silty sandy organic CLAY"
"GEOL_LEG","218","Silty sandy gravelly organic CLAY"
"GEOL_LEG","219","Silty organic CLAY"
"GEOL_LEG","220","Sandy gravelly CLAY"
"GEOL_LEG","222","Sandy cobbly CLAY"
"GEOL_LEG","223","Sandy bouldery CLAY"
"GEOL_LEG","224","Sandy gravelly cobbly CLAY"
"GEOL_LEG","225","Sandy gravelly bouldery CLAY"
"GEOL_LEG","226","Sandy gravelly cobbly bouldery CLAY"
"GEOL_LEG","227","Sandy organic CLAY"
"GEOL_LEG","228","Sandy gravelly organic CLAY"
"GEOL_LEG","229","Organic CLAY"
"GEOL_LEG","230","PEATY CLAY"
"GEOL_LEG","301","SILT"
"GEOL_LEG","302","CLAY/SILT"
"GEOL_LEG","303","Sandy SILT"
"GEOL_LEG","304","Gravelly SILT"
"GEOL_LEG","305","Organic SILT"
"GEOL_LEG","310","Sandy gravelly SILT"
"GEOL_LEG","314","Clayey sandy gravelly organic cobbly SILT"
"GEOL_LEG","316","Sandy cobbly SILT"
"GEOL_LEG","317","Sandy bouldery SILT"
"GEOL_LEG","318","Sandy organic SILT"
"GEOL_LEG","319","Sandy gravelly organic SILT"
"GEOL_LEG","320","Sandy gravelly cobbly SILT"
"GEOL_LEG","321","Sandy gravelly organic cobbly SILT"
"GEOL_LEG","322","Gravelly cobbly SILT"
"GEOL_LEG","323","Gravelly bouldery SILT"
"GEOL_LEG","324","Gravelly organic SILT"
"GEOL_LEG","325","Gravelly organic cobbly SILT"
"GEOL_LEG","326","Cobbly SILT"
"GEOL_LEG","327","Cobbly bouldery SILT"
"GEOL_LEG","328","Organic cobbly SILT"
"GEOL_LEG","331","Bouldery SILT"
"GEOL_LEG","332","PEATY SILT"
"GEOL_LEG","401","SAND"
"GEOL_LEG","402","Clayey SAND"
"GEOL_LEG","403","Silty SAND"
"GEOL_LEG","404","Gravelly SAND"
"GEOL_LEG","405","Cobbly SAND"
"GEOL_LEG","406","Bouldery SAND"
"GEOL_LEG","410","Clayey gravelly SAND"
"GEOL_LEG","411","Clayey gravelly cobbly SAND"
"GEOL_LEG","412","Silty gravelly SAND"
"GEOL_LEG","413","Silty gravelly cobbly SAND"
"GEOL_LEG","414","Silty gravelly cobbly bouldery SAND"
"GEOL_LEG","415","Gravelly cobbly SAND"
"GEOL_LEG","416","Gravelly cobbly bouldery SAND"
"GEOL_LEG","417","Gravelly bouldery SAND"
"GEOL_LEG","418","Cobbly bouldery SAND"
"GEOL_LEG","430","SAND and GRAVEL"
"GEOL_LEG","431","Organic SAND"
"GEOL_LEG","433","Silty organic SAND"
"GEOL_LEG","434","Gravelly organic SAND"
"GEOL_LEG","435","Cobbly organic SAND"
"GEOL_LEG","436","Bouldery organic SAND"
"GEOL_LEG","437","PEATY SAND"
"GEOL_LEG","501","GRAVEL"
"GEOL_LEG","502","Clayey GRAVEL"
"GEOL_LEG","503","Silty GRAVEL"
"GEOL_LEG","504","Sandy GRAVEL"
"GEOL_LEG","505","Organic GRAVEL"
"GEOL_LEG","506","Cobbly GRAVEL"
"GEOL_LEG","507","Bouldery GRAVEL"
"GEOL_LEG","509","Clayey sandy GRAVEL"
"GEOL_LEG","510","Clayey cobbly GRAVEL"
"GEOL_LEG","511","Clayey bouldery GRAVEL"
"GEOL_LEG","512","Clayey organic GRAVEL"
"GEOL_LEG","517","Clayey sandy organic GRAVEL"
"GEOL_LEG","520","Silty sandy GRAVEL"
"GEOL_LEG","521","Silty cobbly GRAVEL"
"GEOL_LEG","522","Silty bouldery GRAVEL"
"GEOL_LEG","523","Silty organic GRAVEL"
"GEOL_LEG","524","Silty organic sandy GRAVEL"
"GEOL_LEG","525","Sandy cobbly GRAVEL"
"GEOL_LEG","526","Sandy bouldery GRAVEL"
"GEOL_LEG","527","Sandy organic GRAVEL"
"GEOL_LEG","528","Silty sandy cobbly GRAVEL"
"GEOL_LEG","529","PEATY GRAVEL"
"GEOL_LEG","601","PEAT"
"GEOL_LEG","602","Clayey PEAT"
"GEOL_LEG","603","Silty PEAT"
"GEOL_LEG","604","Sandy PEAT"
"GEOL_LEG","605","Gravelly PEAT"
"GEOL_LEG","606","Cobbly PEAT"
"GEOL_LEG","608","Clayey sandy PEAT"
"GEOL_LEG","609","Clayey gravelly PEAT"
"GEOL_LEG","612","Silty sandy PEAT"
"GEOL_LEG","613","Silty sandy gravelly PEAT"
"GEOL_LEG","614","Sandy gravelly PEAT"
"GEOL_LEG","701","COBBLES"
"GEOL_LEG","702","Clayey COBBLES"
"GEOL_LEG","703","Silty COBBLES"
"GEOL_LEG","704","Sandy COBBLES"
"GEOL_LEG","705","Gravelly COBBLES"
"GEOL_LEG","706","Organic COBBLES"
"GEOL_LEG","708","Clayey sandy COBBLES"
"GEOL_LEG","709","Clayey gravelly COBBLES"
"GEOL_LEG","713","Silty sandy COBBLES"
"GEOL_LEG","714","Silty gravelly COBBLES"
"GEOL_LEG","715","Silty organic COBBLES"
"GEOL_LEG","716","Silty gravelly sandy COBBLES"
"GEOL_LEG","717","Silty sandy organic COBBLES"
"GEOL_LEG","718","Silty sandy gravelly organic COBBLES"
"GEOL_LEG","719","Sandy gravelly COBBLES"
"GEOL_LEG","720","Sandy organic COBBLES"
"GEOL_LEG","721","Gravelly organic COBBLES"
"GEOL_LEG","725","COBBLES and BOULDERS"
"GEOL_LEG","730","BOULDERS"
"GEOL_LEG","731","Gravelly cobbly BOULDERS"
"GEOL_LEG","801","MUDSTONE"
"GEOL_LEG","802","SILTSTONE"
"GEOL_LEG","803","SANDSTONE"
"GEOL_LEG","804","LIMESTONE"
"GEOL_LEG","805","CHALK"
"GEOL_LEG","806","COAL"
"GEOL_LEG","807","BRECCIA"
"GEOL_LEG","808","CONGLOMERATE"
"GEOL_LEG","809","Fine grained IGNEOUS"
"GEOL_LEG","810","Medium grained IGNEOUS"
"GEOL_LEG","811","Coarse grained IGNEOUS"
"GEOL_LEG","812","Fine grained METAMORPHIC"
"GEOL_LEG","813","Medium grained METAMORPHIC"
"GEOL_LEG","814","Coarse grained METAMORPHIC"
"GEOL_LEG","815","Pyroclastic (volcanic ash)"
"GEOL_LEG","816","Gypsum, Rocksalt"
"GEOL_LEG","817","SHALE"
"GEOL_LEG","818","ARKOSE"
"GEOL_LEG","819","GREYWACKE"
"GEOL_LEG","820","MUDDY SANDSTONE"
"GEOL_LEG","821","CONGLOMERATIC SANDSTONE"
"GEOL_LEG","822","CHERT"
"GEOL_LEG","823","CALCAREOUS SANDSTONE"
"GEOL_LEG","824","CALCAREOUS SILTSTONE"
"GEOL_LEG","825","CALCAREOUS MUDSTONE"
"GEOL_LEG","826","CALCAREOUS SHALE/MARL"
"GEOL_LEG","827","METASANDSTONE"
"GEOL_LEG","828","METASILTSTONE"
"GEOL_LEG","829","METAMUDSTONE"
"GEOL_LEG","830","DOLOMITE"
"GEOL_LEG","831","OOID_LIMESTONE (OOLITIC LIMESTONE)"
"GEOL_LEG","832","LIME-WACKESTONE"
"GEOL_LEG","833","LIME-PACKSTONE"
"GEOL_LEG","834","SANDY LIMESTONE (ARENACEOUS MICRITIC LIMESTONE)"
"GEOL_LEG","835","LIME_MUDSTONE (ARGILLACEOUS MICRITIC LIMESTONE)"
"GEOL_LEG","836","CARBONACEOUS LIMESTONE"
"GEOL_LEG","840","GRANITE"
"GEOL_LEG","841","QUARTZ MONZONITE (ADAMELLITE)"
"GEOL_LEG","842","GRANODIORITE"
"GEOL_LEG","843","DIORITE"
"GEOL_LEG","844","GABBRO"
"GEOL_LEG","845","NORITIC GABBRO"
"GEOL_LEG","846","NORITE"
"GEOL_LEG","847","RHYOLITE"
"GEOL_LEG","848","ANDESITE"
"GEOL_LEG","849","BASALT"
"GEOL_LEG","850","SPILITE"
"GEOL_LEG","851","AGGLOMERATE (VOLCANIC BRECCIA)"
"GEOL_LEG","853","LITHIC TUFF"
"GEOL_LEG","854","CRYSTAL TUFF"
"GEOL_LEG","856","VITRIC TUFF"
"GEOL_LEG","857","LAPILLISTONE"
"GEOL_LEG","858","TUFFACEOUS CONGLOMERATE"
"GEOL_LEG","859","TUFFACEOUS SANDSTONE"
"GEOL_LEG","860","TUFFACEOUS MUDSTONE"
"GEOL_LEG","861","VOLCANICLASTIC CONGLOMERATE"
"GEOL_LEG","862","VOLCANICLASTIC SANDSTONE"
"GEOL_LEG","863","VOLCANICLASTIC MUDSTONE"
"GEOL_LEG","870","MARBLE"
"GEOL_LEG","871","DOLOMITIC MARBLE"
"GEOL_LEG","872","SLATE"
"GEOL_LEG","873","SCHIST"
"GEOL_LEG","874","QUARTZITE"
"GEOL_LEG","880","FAULT BRECCIA"
"GEOL_LEG","881","CATACLASITE"
"GEOL_LEG","882","MYLONITE"
"GEOL_LEG","890","MICROGRANITE"
"GEOL_LEG","891","GRANITE PORPHYRY"
"GEOL_LEG","892","DOLERITE ( DIABASE in UK)"
"GEOL_LEG","999","Void"
"GRAD_TYPE","DS","Dry sieve"
"GRAD_TYPE","HY","Hydrometer"
"GRAD_TYPE","PP","Pipette"
"GRAD_TYPE","WS","Wet sieve"
"GRAD_TYPE","WS/HY","Wet sieving and Hydrometer"
"HOLE _TYPE","ABS","Automatic Ballast Sampler"
"HOLE_TYPE","CH","Slope surface protection stripping"
"HOLE_TYPE","CP","Cable percussion (shell and auger)"
"HOLE_TYPE","DCP","Dynamic cone penetrometer"
"HOLE_TYPE","DP","Dynamic probe sampling"
"HOLE_TYPE","EXP","Logged exposure"
"HOLE_TYPE","GCOP","GCO probe"
"HOLE_TYPE","HA","Hand Auger"
"HOLE_TYPE","INST","instrument"
"HOLE_TYPE","IVAN","in situ penetration vane test"
